name,committee,role,order,img_path
Ahmad Al Ajami,,,NA,avatar.png
Anastasiya Börsch,,,NA,avatar.png
Annekathrin Nedwed,,,NA,Annekathrin Nedwed.png
Athimed El Taher,,,NA,avatar.png
Carissa Chen,,,NA,avatar.png
Charlotte Soneson,,,NA,Charlotte Soneson.jpg
Dania Machlab,,,NA,Dania Machlab.jpg
Dario Righelli,,,NA,Dario Righelli.jpg
Eliana Ibrahimi,,,NA,Eliana Ibrahimi.png
Federico Marini,,,NA,Federico Marini.png
Hiranyamaya Dash,,,NA,avatar.png
Ilaria Billato,,,NA,avatar.png
James Dalgleish,,,NA,James Dalgleish.png
Kevin Rue-Albrecht,,,NA,Kevin Rue-Albrecht.jpg
Laurent Gatto,,,NA,Laurent Gatto.jpg
Leo Lahti,,,,Leo Lahti.jpg
Lieven Clement,,,NA,Lieven Clement.jpeg
Maria Doyle,,,NA,Maria Doyle.jpeg
Michael Stadler,,,NA,Michael Stadler.jpg
Najla Abassi,,,NA,Najla Abassi.jpg
Nyasita Laurah Ondari,,,NA,laurah.png
Robert Castelo,,,NA,Robert Castelo.jpeg
Robert Ivánek,,,NA,Robert Ivanek.jpg
Nicholas Cooley,,,NA,Nicholas_Cooley.jpeg
Michael Love,,,NA,Michael_Love.jpeg
Mark Robinson,,,NA,Mark_Robinson.jpg
Tuomas Borman,,,,Tuomas Borman.jpeg
