order,name,img_path,position,txt,web,title
1,Caroline Uhler,Caroline-Uhler.jpg,,"Caroline Uhler is a core institute member of the Broad Institute of MIT and Harvard, where she directs the Eric and Wendy Schmidt Center and is a member of the Scientific Leadership Team. She is also the Andrew (1956) and Erna Viterbi Professor of Engineering in the Department of Electrical Engineering and Computer Science and the Institute for Data, Systems, and Society at MIT. Caroline’s research lies at the intersection of machine learning, statistics, and genomics, with a particular focus on causal inference, representation learning, and gene regulation.",https://www.carolineuhler.com,TBD
2,Davide Risso,davide-risso.jpeg,,"Davide Risso is Professor of Statistics at the University of Padova, where he leads a research group working at the intersection of statistics, bioinformatics and computational biology, with a strong emphasis on reproducible research and open-source software development. The group develops statistical and computational methods for emerging high-throughput technologies and implements them in scalable, user-friendly, open-source software packages. They also collaborate with experimental biologists to contribute to biological discoveries in diverse fields such as developmental biology, neuroscience and cancer biology.",https://rissolab.github.io/,TBD
3,Mireia Ramos-Rodríguez,mireia-ramos-cropped.jpg,,"Mireia Ramos-Rodríguez is a postdoctoral researcher in the Endocrine Regulatory Genomics Laboratory at Pompeu Fabra University in Barcelona. Her research focuses on understanding the epigenetic mechanisms regulating gene expression in pancreatic β-cells. She uses single-cell and multi-omic approaches to study pancreatic islets, with a particular focus on understanding the mechanisms underlying type 1 diabetes. Mireia is also committed to open and reproducible research, developing and sharing software packages and web platforms, and contributes to the Bioconductor community as a package reviewer.",https://mireia-bioinfo.github.io/,TBD
4,Luca Giorgetti,luca-giorgetti.webp,,"Luca Giorgetti is a senior group leader at the Friedrich Miescher Institute for Biomedical Research in Basel. His group combines wet- and dry-lab approaches to unravel the interplay between chromosome structure and transcriptional regulation, and are fascinated by fundamental questions that lie at the interface between molecular biology and physics.",https://giorgettilab.org/,TBD
5,Daria Lazic,daria-lazic.jpg,,"Daria is a postdoctoral fellow, working as a Spatial Omics Data Scientist in a collaborative project between the Huber Lab at EMBL and Cellzome (GSK). She uses and develops spatial omics analysis approaches to uncover spatial patterns influencing disease progression and response to therapies. During her PhD, she collaborated with the Children’s Cancer Research Institute in Vienna and the University of Zurich/ETH Zurich, where she developed workflows to study spatial and temporal dynamics in neuroblastoma through multiplexed imaging data analysis.",https://www.huber.embl.de/group/people/daria-lazic.html,TBD
